TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NIGHT,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2.00312E+11,2.00312E+11,5.74,1,0,1.779,0,284.247,1,1.923,1,101.863,2,0,2,1.411,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.196,1,33.628,1,-42.8294,1,7.58182,2,8.52323,6.52612,10.8012,6.29211,-8.09339,1,-9.09832,-11.53,-6.96646,9.71714,1,0.0312157,2,0.223405,0.0201556,0.0312157,0.0717121,2,2,2,0.325331,0.309876,0.319422,0.351956,0.288206,0.284407,0.287806,0.289651,0.292935,0.272273,0.274994,0.292882,0.014953,0.014755,0.014953,0.017033,-9999,-9999
2.00312E+11,2.00312E+11,5.74,1,0,1.779,0,284.247,1,1.923,1,101.884,2,0,2,1.502,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.196,1,33.628,1,-42.8294,1,7.45045,2,8.37555,6.41305,10.6141,6.29211,-8.1124,1,-9.1197,-11.5571,-6.98283,9.71714,1,0.0310577,2,0.224919,0.0202174,0.0310577,0.0709851,2,2,2,0.324827,0.309388,0.318927,0.351477,0.28787,0.283879,0.287093,0.289916,0.292637,0.271929,0.274732,0.292562,0.014921,0.014724,0.014921,0.017003,-9999,-9999
2.00312E+11,2.00312E+11,5.74,1,0,1.779,0,284.247,1,1.923,1,101.905,2,0,2,1.593,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.196,1,33.628,1,-42.8294,1,7.30357,2,8.21044,6.28662,10.4048,6.29211,-8.13127,1,-9.14091,-11.584,-6.99907,9.71714,1,0.0296226,2,0.225801,0.0188298,0.0296226,0.0692794,2,2,2,0.324322,0.308899,0.318433,0.350998,0.28881,0.2848,0.288471,0.291173,0.292339,0.271586,0.27447,0.292241,0.01489,0.014693,0.01489,0.016973,-9999,-9999
2.00312E+11,2.00312E+11,5.468,2,5.64455,1.779,1,270.266,2,0.614,2,101.962,2,0,2,1.878,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6,2,33,2,-59.8,2,18.5,3,20.7971,15.9241,26.3555,8.45046,2.1,2,2.36075,1.80759,2.99171,9.28295,0,0.0868,3,0.226682,0.0868,0.0868,0.0868,3,3,3,0.318346,0.302909,0.312566,0.343679,0.225766,0.216109,0.225766,0.272903,0.282383,0.262382,0.263935,0.282749,0.014858,0.014661,0.014858,0.016943,-9999,-9999
2.00312E+11,2.00312E+11,5.995,2,105.924,54.555,2,270.266,2,0.982,2,102.019,2,0,2,2.162,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.046,2,33.111,2,-57.4444,2,26.6,3,29.9028,22.8962,37.895,10.4517,7.4,2,8.31884,6.36962,10.5422,8.40482,0,0.21925,3,0.228111,0.215667,0.215667,0.21925,3,3,3,0.328468,0.31311,0.322505,0.356501,0.103255,0.097443,0.105857,0.148158,0.300991,0.279381,0.283827,0.300367,0.421331,0.417859,0.421331,0.480396,-9999,-9999
2.00312E+11,2.00312E+11,6.521,2,234.378,122.798,2,270.266,2,1.35,2,102.077,2,0,2,2.447,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.218,2,33.125,2,-51,2,31.8571,3,35.8128,27.4213,45.3844,11.5423,14.5,2,16.3004,12.481,20.657,6.02093,0,0.273,3,0.228111,0.136867,0.1458,0.273,3,3,3,0.338666,0.323407,0.332741,0.369493,0.059519,0.104145,0.170887,0.194924,0.320369,0.297079,0.304726,0.318652,0.864413,0.862062,0.864413,0.985438,-9999,-9999
2.00312E+11,2.00312E+11,7.047,2,353.781,186.252,2,270.266,2,1.717,2,102.134,2,0,2,2.731,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.579,2,33.143,2,-38.7143,2,38.875,3,43.702,33.462,55.3822,9.86559,24.8,2,27.8793,21.3468,35.3307,9.0611,0,0.1595,3,0.228111,-0.045,0.1414,0.1414,3,3,3,0.348959,0.333818,0.344104,0.382676,0.183125,0.189459,0.257761,0.37592,0.340567,0.315523,0.326697,0.337647,1.2108,1.21092,1.21281,1.38026,-9999,-9999
2.00312E+11,2.00312E+11,7.574,2,462.089,243.831,2,270.266,2,2.085,2,102.191,2,0,2,3.016,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.193,2,33.333,2,-19,2,43.3,3,48.6764,37.2709,61.6862,8.30663,44.6,2,50.1379,38.3899,63.5382,37.8234,0,0.114,3,0.228111,-0.0526667,0.114,0.201714,3,3,3,0.359361,0.344359,0.355633,0.395999,0.23884,0.209604,0.23884,0.395154,0.361637,0.334762,0.349658,0.357399,1.48154,1.48255,1.48916,1.68898,-9999,-9999
2.00312E+11,2.00312E+11,8.1,2,557.449,360.612,2,270.621,2,2.453,2,102.248,2,0,2,3.3,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.1,2,33.4,2,9,2,48.2,3,54.1849,41.4886,68.6668,8.30663,62,2,69.6984,53.3671,88.3266,-9999,0,0.0977143,3,0.228111,-0.0088,0.0977143,0.169556,3,3,3,0.369829,0.354984,0.367278,0.408764,0.265405,0.243934,0.272115,0.362987,0.383511,0.354735,0.373845,0.377838,1.93754,1.94243,1.95894,2.20825,-9999,-9999
2.00312E+11,2.00312E+11,8.467,2,638.23,413.248,2,270.621,2,2.853,2,102.271,2,0,2,3.253,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.804,2,33.2,2,28.4,2,55.2,3,62.054,47.5139,78.6392,9.08295,80.5,2,90.4955,69.2911,114.682,63.4629,0,0.159429,3,0.228111,0.110167,0.18775,0.217556,3,3,3,0.377003,0.362283,0.375314,0.417576,0.210735,0.197623,0.207403,0.252102,0.399155,0.368994,0.391286,0.392402,2.10744,2.11424,2.13549,2.40166,-9999,-9999
