TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NIGHT,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2.00205E+11,2.00205E+11,25.05,2,0,0,2,372.228,2,9.897,2,99.579,2,0,2,3.54,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.691,3,32.375,3,-16.125,3,22,3,24.6854,19.7738,32.4211,17.8823,-46,3,-51.1951,-67.6317,-41.1579,11.7036,1,0,3,2.43676,0,0,0,3,3,3,2.38557,2.10039,2.33614,2.37971,2.38636,2.10039,2.33614,2.37971,2.58709,2.17306,2.58709,3.31673,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,24.745,2,0,0,2,372.228,2,9.482,2,99.598,2,0,2,3.427,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.434,3,32.444,3,-15.7778,3,19.6,3,21.9924,17.6167,28.8842,17.8823,-43.2,3,-48.0789,-63.515,-38.6526,11.7555,1,0,3,2.43676,0,0,0,3,3,3,2.35002,2.07176,2.30033,2.33635,2.35062,2.07176,2.30033,2.33635,2.57926,2.16648,2.57926,3.30669,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,24.439,2,0,0,2,372.228,2,9.068,2,99.618,2,0,2,3.313,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.225,3,32.5,3,-15.6,3,6.6,3,7.40561,5.93214,9.72632,13.358,-38.2,3,-42.8628,-56.2947,-34.3345,11.8663,1,0,3,2.43676,0,0,0,3,3,3,2.31459,2.04277,2.26364,2.29327,2.31499,2.04277,2.26364,2.29327,2.57136,2.15984,2.57136,3.29656,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,24.134,2,0,0,2,372.228,2,8.653,2,99.637,2,0,2,3.2,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.156,3,32.5,3,-15.8,3,-5.6,3,-6.28355,-8.288,-5.03333,14.3081,-32.4,3,-36.3548,-47.952,-29.1214,11.7555,1,0.0364,3,2.43676,0.0364,0.0364,0.0364,3,3,3,2.2795,2.00756,2.22611,2.25068,2.24331,1.97116,2.18971,2.21428,2.56344,2.15319,2.56344,3.2864,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,23.828,2,0,0,2,372.228,2,8.239,2,99.656,2,0,2,3.086,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.085,3,32.5,3,-15.6,3,0,3,0,0,0,13.0484,-28.4,3,-31.9627,-42.6,-25.5262,11.1964,1,0.1546,3,2.43676,0.1546,0.1546,0.1546,3,3,3,2.24454,1.97161,2.18877,2.20815,2.08996,1.81701,2.03416,2.05355,2.55544,2.14647,2.55544,3.27616,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,23.523,2,0,0,2,372.228,2,7.824,2,99.675,2,0,2,2.973,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.013,3,32.5,3,-15.3,3,3,3,3.38544,2.7112,4.5,13.0484,-27.6,3,-31.0624,-41.4,-24.8071,11.0616,1,0.19325,3,2.43676,0.19325,0.19325,0.19325,3,3,3,2.20992,1.93611,2.1522,2.16613,2.0165,1.74286,1.95895,1.97288,2.54743,2.13975,2.54743,3.26589,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,23.217,2,0,0,2,370.78,2,7.41,2,99.694,2,0,2,2.86,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.943,3,32.5,3,-15.2,3,3,3,3.38544,2.7112,4.5,12.9433,-25.2,3,-28.3613,-37.8,-22.65,11.3311,1,0.257667,3,2.43676,0.257667,0.257667,0.257667,3,3,3,2.17542,1.90083,2.11625,2.12473,1.91741,1.64316,1.85858,1.86707,2.53935,2.13296,2.53935,3.25553,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,22.955,2,0,0,2,370.78,2,6.944,2,99.712,2,0,2,2.784,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.874,3,32.5,3,-15.1,3,19.2,3,21.6668,17.3517,28.8,17.8823,-24,3,-27.0108,-36,-21.5714,10.7228,1,-5.55267,3,-9999,-5.55267,-5.55267,-5.55267,3,3,3,2.14608,1.87089,2.08569,2.09402,7.69825,7.42356,7.63836,7.64668,2.5324,2.12711,2.5324,3.24661,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,22.693,2,0,0,2,370.78,2,6.478,2,99.729,2,0,2,2.708,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.815,3,32.5,3,-14.7,3,24.2,3,27.3092,21.8703,36.3,19.018,-22.4,3,-25.21,-33.6,-20.1333,10.5349,1,-8.42,3,-9999,-8.42,-8.42,-8.42,3,3,3,2.11691,1.8412,2.05098,2.06448,10.5363,10.2612,10.471,10.4845,2.52541,2.12124,2.52541,3.23765,0,0,0,0,-9999,-9999
2.00205E+11,2.00205E+11,22.431,2,0,0,2,370.78,2,6.013,2,99.746,2,0,2,2.631,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.82,3,32.5,3,-12.8,3,26.5,3,29.9047,23.9489,39.75,19.3847,-17.4,3,-19.5828,-26.1,-15.6393,10.5211,1,-19.1015,3,12.7648,-19.1015,-19.1015,-19.1015,3,3,3,2.08792,1.81175,2.01577,2.03513,21.1886,20.9133,21.1173,21.1366,2.51838,2.11534,2.51838,3.22864,0,0,0,0,-9999,-9999
